"","Year","Month","Highest","MHHW","MHW","MSL","MTL","MLW","MLLW","DTL","GT","MN","DHQ","DLQ","HWI","LWI","Lowest","Inferred","city","date"
"1",2011,1,0.844,0.161,-0.003,-1.45,-1.485,-2.967,-3.07,-1.454,3.231,2.964,0.164,0.103,3.63,9.85,-3.671,0,"Boston",2011-01-01
"2",2011,2,0.686,0.087,-0.054,-1.483,-1.517,-2.981,-3.049,-1.481,3.136,2.927,0.141,0.068,3.59,9.78,-3.703,0,"Boston",2011-02-01
"3",2011,3,0.695,0.035,-0.083,-1.501,-1.539,-2.996,-3.062,-1.513,3.096,2.913,0.117,0.066,3.63,9.85,-3.749,0,"Boston",2011-03-01
"4",2011,4,0.658,0.079,-0.034,-1.456,-1.496,-2.958,-3.042,-1.481,3.121,2.924,0.113,0.084,3.66,9.85,-3.761,0,"Boston",2011-04-01
"5",2011,5,0.719,0.162,0.03,-1.372,-1.409,-2.849,-2.962,-1.4,3.124,2.879,0.132,0.113,3.68,9.89,-3.549,0,"Boston",2011-05-01
"6",2011,6,0.659,0.191,0.045,-1.357,-1.395,-2.836,-2.936,-1.372,3.127,2.881,0.146,0.1,3.72,9.9,-3.322,0,"Boston",2011-06-01
"7",2011,7,0.519,0.171,0.019,-1.39,-1.434,-2.887,-2.969,-1.399,3.14,2.906,0.152,0.082,3.69,9.83,-3.277,0,"Boston",2011-07-01
"8",2011,8,0.49,0.18,0.061,-1.371,-1.417,-2.895,-2.952,-1.386,3.132,2.956,0.119,0.057,3.68,9.84,-3.533,0,"Boston",2011-08-01
"9",2011,9,0.73,0.13,0.024,-1.423,-1.458,-2.941,-3.009,-1.439,3.139,2.965,0.106,0.068,3.65,9.83,-3.529,0,"Boston",2011-09-01
"10",2011,10,0.739,0.2,0.08,-1.356,-1.395,-2.871,-2.972,-1.386,3.172,2.951,0.12,0.101,3.65,9.84,-3.666,0,"Boston",2011-10-01
"11",2011,11,0.753,0.083,-0.049,-1.473,-1.508,-2.968,-3.081,-1.499,3.164,2.919,0.132,0.113,3.58,9.78,-3.714,0,"Boston",2011-11-01
"12",2011,12,0.683,0.014,-0.123,-1.51,-1.541,-2.96,-3.078,-1.532,3.092,2.837,0.137,0.118,3.67,9.83,-3.581,0,"Boston",2011-12-01
"13",2012,1,0.763,0.029,-0.142,-1.534,-1.566,-2.991,-3.107,-1.539,3.136,2.849,0.171,0.116,3.62,9.84,-3.571,0,"Boston",2012-01-01
"14",2012,2,0.395,0.019,-0.128,-1.532,-1.564,-3.001,-3.08,-1.53,3.099,2.873,0.147,0.079,3.67,9.84,-3.4,0,"Boston",2012-02-01
"15",2012,3,0.307,-0.013,-0.121,-1.512,-1.546,-2.972,-3.063,-1.538,3.05,2.851,0.108,0.091,3.7,9.82,-3.737,0,"Boston",2012-03-01
"16",2012,4,0.635,0.077,-0.016,-1.425,-1.464,-2.913,-3.006,-1.464,3.083,2.897,0.093,0.093,3.65,9.85,-3.526,0,"Boston",2012-04-01
"17",2012,5,0.63,0.087,-0.039,-1.468,-1.508,-2.978,-3.096,-1.504,3.183,2.939,0.126,0.118,3.67,9.87,-3.715,0,"Boston",2012-05-01
"18",2012,6,1.008,0.235,0.087,-1.347,-1.384,-2.855,-2.971,-1.368,3.206,2.942,0.148,0.116,3.67,9.91,-3.426,0,"Boston",2012-06-01
"19",2012,7,0.675,0.176,0.02,-1.418,-1.456,-2.932,-3.028,-1.426,3.204,2.952,0.156,0.096,3.7,9.91,-3.502,0,"Boston",2012-07-01
"20",2012,8,0.513,0.141,0.001,-1.43,-1.472,-2.946,-3.025,-1.442,3.166,2.947,0.14,0.079,3.75,9.93,-3.36,0,"Boston",2012-08-01
"21",2012,9,0.467,0.037,-0.064,-1.467,-1.506,-2.949,-3.016,-1.489,3.053,2.885,0.101,0.067,3.73,9.91,-3.433,0,"Boston",2012-09-01
"22",2012,10,0.801,0.107,0,-1.392,-1.426,-2.852,-2.957,-1.425,3.064,2.852,0.107,0.105,3.72,9.89,-3.509,0,"Boston",2012-10-01
"23",2012,11,0.736,0.134,0,-1.429,-1.466,-2.933,-3.061,-1.463,3.195,2.933,0.134,0.128,3.68,9.88,-3.734,0,"Boston",2012-11-01
"24",2012,12,0.82,0.145,0.006,-1.405,-1.438,-2.882,-3.006,-1.43,3.151,2.888,0.139,0.124,3.66,9.87,-3.741,0,"Boston",2012-12-01
"25",2013,1,0.693,0.005,-0.132,-1.557,-1.591,-3.051,-3.133,-1.564,3.138,2.919,0.137,0.082,3.6,9.85,-3.681,0,"Boston",2013-01-01
"26",2013,2,0.853,0.097,-0.047,-1.502,-1.537,-3.028,-3.129,-1.516,3.226,2.981,0.144,0.101,3.65,9.86,-3.553,0,"Boston",2013-02-01
"27",2013,3,0.784,0.265,0.153,-1.35,-1.397,-2.948,-3.019,-1.377,3.284,3.101,0.112,0.071,3.63,9.84,-3.532,0,"Boston",2013-03-01
"28",2013,4,0.664,0.106,-0.001,-1.491,-1.536,-3.071,-3.163,-1.528,3.269,3.07,0.107,0.092,3.6,9.82,-3.697,0,"Boston",2013-04-01
"29",2013,5,0.774,0.125,0.013,-1.473,-1.516,-3.046,-3.15,-1.512,3.275,3.059,0.112,0.104,3.62,9.86,-3.689,0,"Boston",2013-05-01
"30",2013,6,0.716,0.211,0.079,-1.401,-1.443,-2.965,-3.07,-1.429,3.281,3.044,0.132,0.105,3.67,9.89,-3.709,0,"Boston",2013-06-01
"31",2013,7,0.81,0.192,0.062,-1.389,-1.432,-2.926,-3.011,-1.409,3.203,2.988,0.13,0.085,3.72,9.92,-3.51,0,"Boston",2013-07-01
"32",2013,8,0.594,0.14,0.008,-1.416,-1.454,-2.916,-3,-1.43,3.14,2.924,0.132,0.084,3.74,9.93,-3.563,0,"Boston",2013-08-01
"33",2013,9,0.409,0.097,-0.01,-1.423,-1.461,-2.913,-2.986,-1.444,3.083,2.903,0.107,0.073,3.72,9.93,-3.448,0,"Boston",2013-09-01
"34",2013,10,0.488,0.079,-0.021,-1.424,-1.457,-2.894,-2.995,-1.458,3.074,2.873,0.1,0.101,3.74,9.92,-3.337,0,"Boston",2013-10-01
"35",2013,11,0.492,0.031,-0.11,-1.522,-1.559,-3.009,-3.134,-1.551,3.165,2.899,0.141,0.125,3.68,9.9,-3.541,0,"Boston",2013-11-01
"36",2013,12,0.703,0.104,-0.052,-1.518,-1.554,-3.057,-3.185,-1.54,3.289,3.005,0.156,0.128,3.64,9.88,-3.856,0,"Boston",2013-12-01
"37",2014,1,1.086,0.123,-0.044,-1.529,-1.574,-3.105,-3.225,-1.551,3.348,3.061,0.167,0.12,3.61,9.84,-3.915,0,"Boston",2014-01-01
"38",2014,2,0.494,0.034,-0.105,-1.567,-1.603,-3.102,-3.198,-1.582,3.232,2.997,0.139,0.096,3.62,9.9,-3.911,0,"Boston",2014-02-01
"39",2014,3,0.722,0.083,-0.028,-1.521,-1.567,-3.106,-3.173,-1.545,3.256,3.078,0.111,0.067,3.65,9.87,-3.852,0,"Boston",2014-03-01
"40",2014,4,0.63,0.135,0.028,-1.461,-1.507,-3.042,-3.126,-1.495,3.261,3.07,0.107,0.084,3.67,9.9,-3.496,0,"Boston",2014-04-01
"41",2014,5,0.481,0.182,0.055,-1.409,-1.455,-2.965,-3.08,-1.449,3.262,3.02,0.127,0.115,3.67,9.88,-3.488,0,"Boston",2014-05-01
"42",2014,6,0.686,0.175,0.037,-1.407,-1.454,-2.945,-3.05,-1.437,3.225,2.982,0.138,0.105,3.7,9.91,-3.508,0,"Boston",2014-06-01
"43",2014,7,0.653,0.138,-0.003,-1.445,-1.491,-2.979,-3.061,-1.461,3.199,2.976,0.141,0.082,3.73,9.9,-3.687,0,"Boston",2014-07-01
"44",2014,8,0.628,0.137,0.019,-1.418,-1.462,-2.944,-2.999,-1.431,3.136,2.963,0.118,0.055,3.72,9.9,-3.64,0,"Boston",2014-08-01
"45",2014,9,0.575,0.117,0,-1.443,-1.483,-2.967,-3.025,-1.454,3.142,2.967,0.117,0.058,3.7,9.9,-3.564,0,"Boston",2014-09-01
"46",2014,10,0.629,0.209,0.097,-1.351,-1.384,-2.865,-2.945,-1.368,3.154,2.962,0.112,0.08,3.64,9.85,-3.53,0,"Boston",2014-10-01
"47",2014,11,0.606,0.145,0.011,-1.451,-1.487,-2.986,-3.096,-1.475,3.241,2.997,0.134,0.11,3.65,9.84,-3.546,0,"Boston",2014-11-01
"48",2014,12,0.629,0.159,0.027,-1.449,-1.482,-2.991,-3.096,-1.468,3.255,3.018,0.132,0.105,3.64,9.87,-3.659,0,"Boston",2014-12-01
"49",2015,1,1.018,0.053,-0.097,-1.542,-1.58,-3.064,-3.179,-1.563,3.232,2.967,0.15,0.115,3.61,9.83,-3.697,0,"Boston",2015-01-01
"50",2015,2,0.787,0.066,-0.059,-1.539,-1.58,-3.101,-3.19,-1.562,3.256,3.042,0.125,0.089,3.61,9.83,-4.095,0,"Boston",2015-02-01
"51",2015,3,0.61,-0.077,-0.162,-1.614,-1.649,-3.137,-3.205,-1.641,3.128,2.975,0.085,0.068,3.73,9.9,-3.927,0,"Boston",2015-03-01
"52",2015,4,0.684,0.047,-0.043,-1.505,-1.548,-3.054,-3.131,-1.542,3.178,3.011,0.09,0.077,3.68,9.9,-3.735,0,"Boston",2015-04-01
"53",2015,5,0.492,0.005,-0.098,-1.535,-1.578,-3.059,-3.148,-1.571,3.153,2.961,0.103,0.089,3.73,9.94,-3.614,0,"Boston",2015-05-01
"54",2015,6,0.37,0.102,-0.025,-1.456,-1.498,-2.971,-3.067,-1.482,3.169,2.946,0.127,0.096,3.71,9.91,-3.379,0,"Boston",2015-06-01
"55",2015,7,0.461,0.192,0.058,-1.388,-1.431,-2.921,-3.002,-1.405,3.194,2.979,0.134,0.081,3.74,9.94,-3.442,0,"Boston",2015-07-01
"56",2015,8,0.544,0.163,0.054,-1.421,-1.469,-2.993,-3.049,-1.443,3.212,3.047,0.109,0.056,3.71,9.88,-3.565,0,"Boston",2015-08-01
"57",2015,9,0.659,0.109,0.024,-1.426,-1.468,-2.96,-3.019,-1.455,3.128,2.984,0.085,0.059,3.68,9.89,-3.716,0,"Boston",2015-09-01
"58",2015,10,0.729,0.15,0.056,-1.407,-1.443,-2.943,-3.023,-1.436,3.173,2.999,0.094,0.08,3.66,9.86,-3.748,0,"Boston",2015-10-01
"59",2015,11,0.428,0.039,-0.06,-1.495,-1.531,-3.002,-3.118,-1.539,3.157,2.942,0.099,0.116,3.66,9.88,-3.867,0,"Boston",2015-11-01
"60",2015,12,0.528,0.065,-0.059,-1.473,-1.506,-2.954,-3.077,-1.506,3.142,2.895,0.124,0.123,3.68,9.9,-3.499,0,"Boston",2015-12-01
"61",2016,1,0.633,0.097,-0.031,-1.446,-1.478,-2.926,-3.023,-1.463,3.12,2.895,0.128,0.097,3.7,9.88,-3.5,0,"Boston",2016-01-01
"62",2016,2,0.825,0.103,-0.025,-1.488,-1.528,-3.032,-3.119,-1.508,3.222,3.007,0.128,0.087,3.62,9.93,-3.775,0,"Boston",2016-02-01
"63",2016,3,0.577,0.04,-0.05,-1.477,-1.519,-2.989,-3.074,-1.517,3.114,2.939,0.09,0.085,3.67,9.86,-3.715,0,"Boston",2016-03-01
"64",2016,4,0.769,0.092,0.014,-1.442,-1.485,-2.984,-3.081,-1.494,3.173,2.998,0.078,0.097,3.64,9.83,-3.744,0,"Boston",2016-04-01
"65",2016,5,0.835,0.131,0.026,-1.446,-1.484,-2.995,-3.101,-1.485,3.232,3.021,0.105,0.106,3.63,9.88,-3.661,0,"Boston",2016-05-01
"66",2016,6,0.813,0.194,0.067,-1.417,-1.458,-2.984,-3.092,-1.449,3.286,3.051,0.127,0.108,3.68,9.89,-3.552,0,"Boston",2016-06-01
"67",2016,7,0.485,0.191,0.049,-1.428,-1.468,-2.985,-3.083,-1.446,3.274,3.034,0.142,0.098,3.7,9.9,-3.568,0,"Boston",2016-07-01
"68",2016,8,0.401,0.13,-0.001,-1.457,-1.496,-2.991,-3.077,-1.473,3.207,2.99,0.131,0.086,3.73,9.91,-3.331,0,"Boston",2016-08-01
"69",2016,9,0.462,0.121,0.015,-1.425,-1.463,-2.942,-3.024,-1.451,3.145,2.957,0.106,0.082,3.71,9.89,-3.484,0,"Boston",2016-09-01
"70",2016,10,0.774,0.119,0.018,-1.4,-1.433,-2.885,-2.978,-1.429,3.097,2.903,0.101,0.093,3.7,9.92,-3.517,0,"Boston",2016-10-01
"71",2016,11,0.777,0.091,-0.023,-1.434,-1.466,-2.91,-3.019,-1.464,3.11,2.887,0.114,0.109,3.66,9.89,-3.63,0,"Boston",2016-11-01
"72",2016,12,0.769,0.085,-0.058,-1.485,-1.516,-2.975,-3.106,-1.51,3.191,2.917,0.143,0.131,3.68,9.91,-3.844,0,"Boston",2016-12-01
"73",2017,1,0.52,0.111,-0.047,-1.477,-1.518,-2.99,-3.099,-1.494,3.21,2.943,0.158,0.109,3.68,9.85,-3.777,0,"Boston",2017-01-01
"74",2017,2,0.733,0.134,0.004,-1.454,-1.492,-2.988,-3.056,-1.461,3.19,2.992,0.13,0.068,3.66,9.86,-3.717,0,"Boston",2017-02-01
"75",2017,3,0.607,0.055,-0.059,-1.547,-1.594,-3.129,-3.219,-1.582,3.274,3.07,0.114,0.09,3.63,9.85,-3.644,0,"Boston",2017-03-01
"76",2017,4,0.692,0.184,0.089,-1.403,-1.448,-2.985,-3.066,-1.441,3.25,3.074,0.095,0.081,3.6,9.82,-3.749,0,"Boston",2017-04-01
"77",2017,5,0.954,0.248,0.138,-1.344,-1.39,-2.919,-3.015,-1.383,3.263,3.057,0.11,0.096,3.61,9.84,-3.574,0,"Boston",2017-05-01
"78",2017,6,0.773,0.191,0.069,-1.393,-1.433,-2.935,-3.051,-1.43,3.242,3.004,0.122,0.116,3.68,9.89,-3.64,0,"Boston",2017-06-01
"79",2017,8,0.523,0.102,-0.022,-1.428,-1.462,-2.903,-2.979,-1.438,3.081,2.881,0.124,0.076,3.78,9.96,-3.439,0,"Boston",2017-08-01
"80",2017,9,0.487,0.131,0.03,-1.388,-1.422,-2.874,-2.945,-1.407,3.076,2.904,0.101,0.071,3.72,9.9,-3.262,0,"Boston",2017-09-01
"81",2017,10,0.428,0.078,-0.017,-1.437,-1.468,-2.92,-3.02,-1.471,3.098,2.903,0.095,0.1,3.72,9.87,-3.392,0,"Boston",2017-10-01
"82",2017,11,0.617,0.103,-0.009,-1.44,-1.472,-2.935,-3.052,-1.474,3.155,2.926,0.112,0.117,3.6,9.83,-3.564,0,"Boston",2017-11-01
"83",2017,12,0.695,0.092,-0.067,-1.525,-1.554,-3.042,-3.167,-1.537,3.259,2.975,0.159,0.125,3.62,9.87,-3.668,0,"Boston",2017-12-01
"84",2018,1,1.491,0.105,-0.06,-1.566,-1.606,-3.153,-3.254,-1.574,3.359,3.093,0.165,0.101,3.6,9.85,-3.973,0,"Boston",2018-01-01
"85",2018,2,0.684,0.001,-0.127,-1.579,-1.612,-3.098,-3.182,-1.59,3.183,2.971,0.128,0.084,3.67,9.84,-3.947,0,"Boston",2018-02-01
"86",2018,3,1.328,0.339,0.212,-1.284,-1.33,-2.872,-2.972,-1.316,3.311,3.084,0.127,0.1,3.68,9.93,-3.515,0,"Boston",2018-03-01
"87",2018,4,0.553,0.126,0.039,-1.452,-1.498,-3.035,-3.14,-1.507,3.266,3.074,0.087,0.105,3.65,9.87,-3.567,0,"Boston",2018-04-01
"88",2018,5,0.584,0.144,0.015,-1.447,-1.491,-2.997,-3.116,-1.486,3.26,3.012,0.129,0.119,3.67,9.87,-3.573,0,"Boston",2018-05-01
"89",2018,6,0.802,0.209,0.067,-1.385,-1.424,-2.916,-3.04,-1.415,3.249,2.983,0.142,0.124,3.7,9.9,-3.624,0,"Boston",2018-06-01
"90",2018,7,0.662,0.137,-0.013,-1.451,-1.496,-2.98,-3.085,-1.474,3.222,2.967,0.15,0.105,3.73,9.91,-3.65,0,"Boston",2018-07-01
"91",2018,8,0.696,0.168,0.041,-1.393,-1.433,-2.908,-2.979,-1.405,3.147,2.949,0.127,0.071,3.7,9.87,-3.618,0,"Boston",2018-08-01
"92",2018,9,0.686,0.17,0.06,-1.386,-1.424,-2.907,-2.968,-1.399,3.138,2.967,0.11,0.061,3.69,9.89,-3.43,0,"Boston",2018-09-01
"93",2018,10,0.688,0.174,0.052,-1.387,-1.42,-2.893,-2.984,-1.405,3.158,2.945,0.122,0.091,3.62,9.79,-3.475,0,"Boston",2018-10-01
"94",2018,11,0.836,0.167,0.026,-1.427,-1.456,-2.938,-3.076,-1.454,3.243,2.964,0.141,0.138,3.65,9.82,-3.558,0,"Boston",2018-11-01
"95",2018,12,0.71,0.158,0.013,-1.438,-1.461,-2.936,-3.065,-1.453,3.223,2.949,0.145,0.129,3.65,9.83,-3.619,0,"Boston",2018-12-01
"96",2019,1,0.863,0.12,-0.024,-1.453,-1.484,-2.945,-3.051,-1.465,3.171,2.921,0.144,0.106,3.68,9.86,-3.822,0,"Boston",2019-01-01
"97",2019,2,0.653,0.024,-0.097,-1.539,-1.572,-3.048,-3.148,-1.562,3.172,2.951,0.121,0.1,3.6,9.81,-3.889,0,"Boston",2019-02-01
"98",2019,3,0.791,0.043,-0.064,-1.485,-1.518,-2.972,-3.056,-1.506,3.099,2.908,0.107,0.084,3.66,9.88,-3.624,0,"Boston",2019-03-01
"99",2019,4,0.553,0.057,-0.038,-1.461,-1.499,-2.961,-3.074,-1.508,3.131,2.923,0.095,0.113,3.66,9.89,-3.507,0,"Boston",2019-04-01
"100",2019,5,0.563,0.129,0.028,-1.372,-1.406,-2.841,-2.957,-1.414,3.086,2.869,0.101,0.116,3.73,9.93,-3.354,0,"Boston",2019-05-01
"101",2019,6,0.477,0.16,0.027,-1.372,-1.408,-2.844,-2.96,-1.4,3.12,2.871,0.133,0.116,3.73,9.89,-3.265,0,"Boston",2019-06-01
"102",2019,7,0.597,0.199,0.05,-1.37,-1.411,-2.873,-2.977,-1.389,3.176,2.923,0.149,0.104,3.73,9.89,-3.433,0,"Boston",2019-07-01
"103",2019,8,0.591,0.187,0.058,-1.389,-1.43,-2.919,-3.006,-1.409,3.193,2.977,0.129,0.087,3.69,9.89,-3.565,0,"Boston",2019-08-01
"104",2019,9,0.549,0.143,0.042,-1.405,-1.444,-2.931,-2.995,-1.426,3.138,2.973,0.101,0.064,3.71,9.88,-3.6,0,"Boston",2019-09-01
"105",2019,10,0.898,0.25,0.141,-1.318,-1.349,-2.84,-2.912,-1.331,3.162,2.981,0.109,0.072,3.71,9.9,-3.477,0,"Boston",2019-10-01
"106",2019,11,0.621,0.14,0.013,-1.396,-1.429,-2.871,-3.002,-1.431,3.142,2.884,0.127,0.131,3.67,9.85,-3.458,0,"Boston",2019-11-01
"107",2019,12,0.845,0.142,-0.015,-1.422,-1.457,-2.899,-3.047,-1.452,3.189,2.884,0.157,0.148,3.7,9.87,-3.656,0,"Boston",2019-12-01
"108",2020,1,0.456,0.084,-0.043,-1.43,-1.461,-2.88,-2.991,-1.453,3.075,2.837,0.127,0.111,3.69,9.9,-3.498,0,"Boston",2020-01-01
"109",2020,2,0.655,0.077,-0.059,-1.473,-1.509,-2.959,-3.053,-1.488,3.13,2.9,0.136,0.094,3.68,9.93,-3.731,0,"Boston",2020-02-01
"110",2020,3,0.636,0.097,-0.022,-1.431,-1.468,-2.913,-3.011,-1.457,3.108,2.891,0.119,0.098,3.65,9.85,-3.675,0,"Boston",2020-03-01
"111",2020,4,0.805,0.199,0.097,-1.33,-1.367,-2.831,-2.955,-1.378,3.154,2.928,0.102,0.124,3.63,9.83,-3.513,0,"Boston",2020-04-01
"112",2020,5,0.778,0.072,-0.039,-1.466,-1.502,-2.966,-3.101,-1.515,3.173,2.927,0.111,0.135,3.6,9.82,-3.855,0,"Boston",2020-05-01
"113",2020,6,0.627,0.16,0.029,-1.406,-1.443,-2.915,-3.047,-1.444,3.207,2.944,0.131,0.132,3.66,9.87,-3.475,0,"Boston",2020-06-01
"114",2020,7,0.636,0.209,0.055,-1.375,-1.411,-2.877,-2.995,-1.393,3.204,2.932,0.154,0.118,3.74,9.91,-3.281,0,"Boston",2020-07-01
"115",2020,8,0.471,0.17,0.018,-1.396,-1.433,-2.883,-2.996,-1.413,3.166,2.901,0.152,0.113,3.74,9.94,-3.472,0,"Boston",2020-08-01
"116",2020,9,0.754,0.111,-0.021,-1.426,-1.459,-2.897,-2.985,-1.437,3.096,2.876,0.132,0.088,3.72,9.91,-3.466,0,"Boston",2020-09-01
"117",2020,10,0.548,0.076,-0.034,-1.432,-1.466,-2.898,-3.001,-1.462,3.077,2.864,0.11,0.103,3.71,9.9,-3.633,0,"Boston",2020-10-01
"118",2020,11,0.716,0.056,-0.086,-1.473,-1.503,-2.92,-3.046,-1.495,3.102,2.834,0.142,0.126,3.65,9.86,-3.66,0,"Boston",2020-11-01
"119",2020,12,0.886,0.146,-0.023,-1.421,-1.456,-2.889,-3.047,-1.45,3.193,2.866,0.169,0.158,3.7,9.92,-3.826,0,"Boston",2020-12-01
"120",2011,1,0.403,0.05,-0.077,-0.759,-0.778,-1.478,-1.542,-0.746,1.592,1.401,0.127,0.064,0.77,7.2,-1.929,0,"New York",2011-01-01
"121",2011,2,0.453,0.008,-0.112,-0.8,-0.817,-1.521,-1.614,-0.803,1.622,1.409,0.12,0.093,0.64,7.05,-2.228,0,"New York",2011-02-01
"122",2011,3,0.543,0.06,-0.03,-0.702,-0.727,-1.423,-1.484,-0.712,1.544,1.393,0.09,0.061,0.65,7.14,-2.03,0,"New York",2011-03-01
"123",2011,4,0.927,0.123,0.027,-0.657,-0.68,-1.387,-1.453,-0.665,1.576,1.414,0.096,0.066,0.71,7.1,-1.87,0,"New York",2011-04-01
"124",2011,5,0.738,0.224,0.115,-0.545,-0.574,-1.263,-1.317,-0.547,1.541,1.378,0.109,0.054,0.66,7.12,-1.54,0,"New York",2011-05-01
"125",2011,6,0.53,0.222,0.113,-0.557,-0.579,-1.271,-1.329,-0.554,1.551,1.384,0.109,0.058,0.68,7.08,-1.591,0,"New York",2011-06-01
"126",2011,7,0.462,0.192,0.089,-0.596,-0.621,-1.331,-1.384,-0.596,1.576,1.42,0.103,0.053,0.65,7.13,-1.577,0,"New York",2011-07-01
"127",2011,8,1.357,0.24,0.143,-0.557,-0.585,-1.312,-1.374,-0.567,1.614,1.455,0.097,0.062,0.6,7.21,-1.866,0,"New York",2011-08-01
"128",2011,9,0.761,0.277,0.193,-0.498,-0.532,-1.256,-1.301,-0.512,1.578,1.449,0.084,0.045,0.63,7.16,-1.599,0,"New York",2011-09-01
"129",2011,10,0.701,0.231,0.139,-0.563,-0.586,-1.31,-1.371,-0.57,1.602,1.449,0.092,0.061,0.74,7.1,-1.811,0,"New York",2011-10-01
"130",2011,11,0.583,0.107,-0.001,-0.682,-0.709,-1.416,-1.466,-0.68,1.573,1.415,0.108,0.05,0.77,7.18,-1.804,0,"New York",2011-11-01
"131",2011,12,0.499,0.074,-0.047,-0.735,-0.756,-1.465,-1.535,-0.731,1.609,1.418,0.121,0.07,0.82,7.24,-1.939,0,"New York",2011-12-01
"132",2012,1,0.598,-0.002,-0.127,-0.797,-0.825,-1.522,-1.6,-0.801,1.598,1.395,0.125,0.078,0.81,7.17,-2.101,0,"New York",2012-01-01
